symbol,company_name,sector
ABB,ABB India,Industrial
INFY,Infosys,IT
TCS,TCS,IT
HDFCBANK,HDFC Bank,Banking
RELIANCE,Reliance Industries,Energy
ICICIBANK,ICICI Bank,Banking
SBIN,State Bank of India,Banking
LT,Larsen & Toubro,Industrial
ITC,ITC,FMCG
SUNPHARMA,Sun Pharma,Pharma
TATAMOTORS,Tata Motors,Automobile
MARUTI,Maruti Suzuki,Automobile
AXISBANK,Axis Bank,Banking
KOTAKBANK,Kotak Mahindra Bank,Banking
BHARTIARTL,Bharti Airtel,Telecom
ONGC,ONGC,Energy
POWERGRID,Power Grid,Energy
NTPC,NTPC,Energy
BAJFINANCE,Bajaj Finance,Finance
HCLTECH,HCL Technologies,IT
TECHM,Tech Mahindra,IT
WIPRO,Wipro,IT
ASIANPAINT,Asian Paints,FMCG
NESTLEIND,Nestle India,FMCG
ULTRACEMCO,UltraTech Cement,Cement
TATASTEEL,Tata Steel,Steel
JSWSTEEL,JSW Steel,Steel
ADANIPORTS,Adani Ports,Infrastructure
ADANIENT,Adani Enterprises,Infrastructure