symbol,NTPC,ONGC,ABB,POWERGRID,RELIANCE,ASIANPAINT,NESTLEIND,MARUTI,WIPRO,TECHM,AXISBANK,ITC,HDFCBANK,TATAMOTORS,INFY,TATASTEEL,TCS,BAJFINANCE,ICICIBANK,BHARTIARTL,HCLTECH,LT,KOTAKBANK,ULTRACEMCO,ADANIPORTS,JSWSTEEL,SUNPHARMA,ADANIENT
NTPC,1.0,0.8721159975243912,-0.9986521453645328,-0.8782226030575809,0.9651500377649139,-0.9987125560948545,-0.9980035466996655,-0.9725121693342647,-0.9921171563566561,-0.9993470908411738,0.024786354792672428,-0.6691410234085288,0.9343130642097855,0.8860098019202365,0.572074529222121,-0.6444580342722098,0.924033457057106,-0.9106626167346075,0.7965516693269022,-0.9357456526701103,-0.9562940872533264,-0.08830988637602556,-0.546682273808729,-0.999126819930362,-0.9690410979000336,-0.8220559855424822,-0.9730337884373412,-0.9811613849138034
ONGC,0.8721159975243912,1.0,-0.8963364712492109,-0.9999203355690719,0.969770994540659,-0.8958138851010418,-0.9012779690130589,-0.734209100225485,-0.9265571821759365,-0.8538681032218698,-0.46753227592119956,-0.9471841548477316,0.6404169647213472,0.9995749641879568,0.09759135857745001,-0.18790459295297066,0.6187996011553688,-0.996357792615787,0.3988696249876173,-0.6435148753638346,-0.9770736803635311,0.4103710471504558,-0.8864801944267693,-0.8509113919600033,-0.9659239540509245,-0.43831795919343075,-0.961461366121892,-0.7611588813143517
ABB,-0.9986521453645328,-0.8963364712492109,1.0,0.9018614718457063,-0.9774319508800973,0.9999993070345786,0.9999364501054002,0.9591157086943599,0.9972840538976999,0.9961248600182123,0.027133829670213945,0.7068098710854981,-0.9145528390439729,-0.9088811434165255,-0.5287327580623093,0.6039025176624784,-0.9029449808284176,0.9308788279913646,-0.7640991810360467,0.9161795802969712,0.9701818402354749,0.0364909167586793,0.5894056575657095,0.9956116282895616,0.9805497261773601,0.791394217394822,0.9836942984522228,0.9698118404006731
POWERGRID,-0.8782226030575809,-0.9999203355690719,0.9018614718457063,1.0,-0.9727737926063647,0.9013522427187116,0.9066746718542217,0.7427201864017551,0.9312312972950553,0.8603698554250994,0.45633721791057436,0.9430608498535497,-0.6500602204866941,-0.9998633102020764,-0.11014563465112877,0.2002870884774532,-0.6286657403609152,0.9973547350973175,-0.41041259698427607,0.653125144485422,0.9796831486808959,-0.3988278424405146,0.8805683943999575,0.8574742166830794,0.9691139846923117,0.4496282184180366,0.9648551485135047,0.7692846333393039
RELIANCE,0.9651500377649139,0.969770994540659,-0.9774319508800973,-0.9727737926063647,0.9999999999999997,-0.9771825777326772,-0.9797514048917192,-0.8776834344487048,-0.9903361763194638,-0.9550647092174304,-0.237694209814795,-0.8402979211630578,0.8084694197277483,0.9764726031180497,0.33749331158203033,-0.42189466158856515,0.7917810615750667,-0.9870464555054062,0.6105775007693648,-0.8108407503600578,-0.9994892513339091,0.17544243407070598,-0.7467599525851861,-0.9533734888093655,-0.9998829440499059,-0.6443952557421919,-0.9994873519932074,-0.8964106996241861
ASIANPAINT,-0.9987125560948545,-0.8958138851010418,0.9999993070345786,0.9013522427187116,-0.9771825777326772,1.0,0.9999224851886989,0.9594482241073234,0.9971966564062305,0.996227709760368,0.025956988884862673,0.7059765865961168,-0.9150283656109144,-0.9083895330533236,-0.5297316323733415,0.6048404402595011,-0.9034502879006662,0.9304480984537652,-0.7648580975925915,0.9166507517035787,0.9698958268671505,0.03766736283800113,0.5884542183713313,0.9957211076222415,0.9803179858013263,0.7921133324586322,0.983481889016943,0.9700982473350135
NESTLEIND,-0.9980035466996655,-0.9012779690130589,0.9999364501054002,0.9066746718542217,-0.9797514048917192,0.9999224851886989,1.0,0.9558641464512516,0.9980509975707886,0.9950700327681579,0.03840162957772849,0.7147399913788824,-0.909934896018829,-0.9135251293146115,-0.5191301930020001,0.5948783647031508,-0.8980426673837859,0.9349382608485453,-0.7567779885017033,0.9116032291378457,0.9728526784809325,0.025222431089249722,0.598475495240564,0.9944933505420599,0.9827001057966225,0.784452257595292,0.9856593397288397,0.9670010730825134
MARUTI,-0.9725121693342647,-0.734209100225485,0.9591157086943599,0.7427201864017551,-0.8776834344487048,0.9594482241073234,0.9558641464512516,1.0000000000000002,0.9356664322275947,0.980290200801257,-0.25688554989330836,0.47770717100740007,-0.9916317557739521,-0.753689614254268,-0.7473350809386392,0.804791203663859,-0.9876558276461613,0.7894274590482372,-0.9154316666181493,0.9921452718147435,0.8619201594097657,0.3178247548970919,0.3366787925245121,0.9813916316730246,0.8849132097239192,0.9320469644135975,0.8925769337072423,0.9991760521092515
WIPRO,-0.9921171563566561,-0.9265571821759365,0.9972840538976999,0.9312312972950553,-0.9903361763194638,0.9971966564062305,0.9980509975707886,0.9356664322275947,1.0,0.9869417802096453,0.1006843305213311,0.7569914147637389,-0.8822794783145576,-0.937129336516446,-0.46478237200480566,0.5435579695154052,-0.8688405252747567,0.9552575040300432,-0.7145115566489367,0.8841741979168278,0.9853983519792342,-0.037210450261091065,0.6473031350074551,0.9860152049985439,0.9923422094256711,0.7442213340182037,0.9942687249015137,0.9492176831808722
TECHM,-0.9993470908411738,-0.8538681032218698,0.9961248600182123,0.8603698554250994,-0.9550647092174304,0.996227709760368,0.9950700327681579,0.980290200801257,0.9869417802096453,1.0000000000000002,-0.06088928065519591,0.6418544958779755,-0.946581782249054,-0.8686789499955005,-0.6013350735411401,0.6716638534739946,-0.9372431458004955,0.895140811223344,-0.8178748506398634,0.9478769387490414,0.945105002477696,0.12424127846031305,0.5160720657946203,0.9999840136922881,0.9594878723858931,0.8420920398749197,0.9640645968367914,0.9875007671233611
AXISBANK,0.024786354792672428,-0.46753227592119956,0.027133829670213945,0.45633721791057436,-0.237694209814795,0.025956988884862673,0.03840162957772849,-0.25688554989330836,0.1006843305213311,-0.06088928065519591,1.0,0.7263215663032877,0.3795022028243658,-0.44156310323540837,0.8341292942923076,-0.780378527286062,0.4050975779874036,0.3904518795015987,0.6241283282869143,-0.37576096406175663,0.26861371793652106,-0.9979759014710187,0.8235326130489965,-0.0665322263060799,0.2228046235344939,-0.5896075038361439,0.20647379804570468,-0.21744995884564916
ITC,-0.6691410234085288,-0.9471841548477316,0.7068098710854981,0.9430608498535497,-0.8402979211630578,0.7059765865961168,0.7147399913788824,0.47770717100740007,0.7569914147637389,0.6418544958779755,0.7263215663032877,1.0,-0.36029396894185833,-0.9374325229367158,0.22672237667950218,-0.1369975417599378,-0.3341993813790508,0.9163887327164159,-0.08372766275790239,0.3640600700636551,0.857193311947027,-0.6811402849066619,0.9880646661613598,0.6375082833383597,0.8319049031308456,0.12692510340021515,0.8225103976425409,0.5129690721329128
HDFCBANK,0.9343130642097855,0.6404169647213472,-0.9145528390439729,-0.6500602204866941,0.8084694197277483,-0.9150283656109144,-0.909934896018829,-0.9916317557739521,-0.8822794783145576,-0.946581782249054,0.3795022028243658,-0.36029396894185833,1.0,0.6625349829923628,0.8268604526791945,-0.8746840517698449,0.9996128438211812,-0.7035749245463832,0.9597298868721029,-0.9999918375503798,-0.7892487034299078,-0.43756993502375346,-0.2122995702948512,-0.9483899928866782,-0.8173795755050809,-0.9710246478045809,-0.8268976803393965,-0.9855751154938768
TATAMOTORS,0.8860098019202365,0.9995749641879568,-0.9088811434165255,-0.9998633102020764,0.9764726031180497,-0.9083895330533236,-0.9135251293146115,-0.753689614254268,-0.937129336516446,-0.8686789499955005,-0.44156310323540837,-0.9374325229367158,0.6625349829923628,0.9999999999999999,0.12656360903559508,-0.21645832421761851,0.64143760909214,-0.9984202018827516,0.4254335137167131,-0.6655559598634674,-0.9828650812211083,0.3836115614130952,-0.8726124269512506,-0.8658640065445606,-0.9730589285086526,-0.46433485812418274,-0.9690680080670093,-0.7797429187807553
INFY,0.572074529222121,0.09759135857745001,-0.5287327580623093,-0.11014563465112877,0.33749331158203033,-0.5297316323733415,-0.5191301930020001,-0.7473350809386392,-0.46478237200480566,-0.6013350735411401,0.8341292942923076,0.22672237667950218,0.8268604526791945,0.12656360903559508,1.0,-0.9958367483719848,0.8421886184104335,-0.1820999084959121,0.9515566029915796,-0.8245813536298843,-0.3072391178626744,-0.8675169914312844,0.3740447439636294,-0.6058433172928703,-0.35185637544298476,-0.9373055770125815,-0.367457982760617,-0.7197521089986725
TATASTEEL,-0.6444580342722098,-0.18790459295297066,0.6039025176624784,0.2002870884774532,-0.42189466158856515,0.6048404402595011,0.5948783647031508,0.804791203663859,0.5435579695154052,0.6716638534739946,-0.780378527286062,-0.1369975417599378,-0.8746840517698449,-0.21645832421761851,-0.9958367483719848,1.0,-0.8878314160236941,0.2709723300409821,-0.9756226849017707,0.8727185564746446,0.3927057196121257,0.818564287864535,-0.2879497056827516,0.6758422203202605,0.43571718550011085,0.9651715196576539,0.45070564655347234,0.7800379995708622
TCS,0.924033457057106,0.6187996011553688,-0.9029449808284176,-0.6286657403609152,0.7917810615750667,-0.9034502879006662,-0.8980426673837859,-0.9876558276461613,-0.8688405252747567,-0.9372431458004955,0.4050975779874036,-0.3341993813790508,0.9996128438211812,0.64143760909214,0.8421886184104335,-0.8878314160236941,1.0,-0.6835303698459735,0.9671747001511694,-0.9994922653487216,-0.7718572928818656,-0.4624192312362391,-0.18502785518054,-0.9391997227303653,-0.8010338590622872,-0.977298017541332,-0.8109307749083474,-0.9804846882198679
BAJFINANCE,-0.9106626167346075,-0.996357792615787,0.9308788279913646,0.9973547350973175,-0.9870464555054062,0.9304480984537652,0.9349382608485453,0.7894274590482372,0.9552575040300432,0.895140811223344,0.3904518795015987,0.9163887327164159,-0.7035749245463832,-0.9984202018827516,-0.1820999084959121,0.2709723300409821,-0.6835303698459735,1.0000000000000002,-0.47561104844535956,0.7064403751207844,0.9916693011344297,-0.3311161462227189,0.8437908692664001,0.8926058582594153,0.9844762218712974,0.5133648230766442,0.9814039481580019,0.8136904297513534
ICICIBANK,0.7965516693269022,0.3988696249876173,-0.7640991810360467,-0.41041259698427607,0.6105775007693648,-0.7648580975925915,-0.7567779885017033,-0.9154316666181493,-0.7145115566489367,-0.8178748506398634,0.6241283282869143,-0.08372766275790239,0.9597298868721029,0.4254335137167131,0.9515566029915796,-0.9756226849017707,0.9671747001511694,-0.47561104844535956,0.9999999999999999,-0.9585870059786574,-0.5849572607028022,-0.6725518182828102,0.07077042703924281,-0.8211153019589182,-0.6226231758329278,-0.999056518975697,-0.6356198797813208,-0.8983426441535006
BHARTIARTL,-0.9357456526701103,-0.6435148753638346,0.9161795802969712,0.653125144485422,-0.8108407503600578,0.9166507517035787,0.9116032291378457,0.9921452718147435,0.8841741979168278,0.9478769387490414,-0.37576096406175663,0.3640600700636551,-0.9999918375503798,-0.6655559598634674,-0.8245813536298843,0.8727185564746446,-0.9994922653487216,0.7064403751207844,-0.9585870059786574,0.9999999999999999,0.7917233645572591,0.4339332987555187,0.2162461350597105,0.9496634881147556,0.8197005761224325,0.9700511496549412,0.8291630595133832,0.9862508622922421
HCLTECH,-0.9562940872533264,-0.9770736803635311,0.9701818402354749,0.9796831486808959,-0.9994892513339091,0.9698958268671505,0.9728526784809325,0.8619201594097657,0.9853983519792342,0.945105002477696,0.26861371793652106,0.857193311947027,-0.7892487034299078,-0.9828650812211083,-0.3072391178626744,0.3927057196121257,-0.7718572928818656,0.9916693011344297,-0.5849572607028022,0.7917233645572591,1.0000000000000002,-0.20681395803406083,0.7676328047031901,0.9432422201255735,0.9988833077116827,0.6196290107816257,0.9979537320857675,0.8817888301001111
LT,-0.08830988637602556,0.4103710471504558,0.0364909167586793,-0.3988278424405146,0.17544243407070598,0.03766736283800113,0.025222431089249722,0.3178247548970919,-0.037210450261091065,0.12424127846031305,-0.9979759014710187,-0.6811402849066619,-0.43756993502375346,0.3836115614130952,-0.8675169914312844,0.818564287864535,-0.4624192312362391,-0.3311161462227189,-0.6725518182828102,0.4339332987555187,-0.20681395803406083,1.0,-0.7857912332996837,0.1298498927914625,-0.16035894145879145,0.6397776978996017,-0.1438329342995005,0.2790813652851594
KOTAKBANK,-0.546682273808729,-0.8864801944267693,0.5894056575657095,0.8805683943999575,-0.7467599525851861,0.5884542183713313,0.598475495240564,0.3366787925245121,0.6473031350074551,0.5160720657946203,0.8235326130489965,0.9880646661613598,-0.2122995702948512,-0.8726124269512506,0.3740447439636294,-0.2879497056827516,-0.18502785518054,0.8437908692664001,0.07077042703924281,0.2162461350597105,0.7676328047031901,-0.7857912332996837,1.0,0.5112205575891754,0.7364964287453682,-0.027383619675762663,0.7250833960877662,0.37461788263984686
ULTRACEMCO,-0.999126819930362,-0.8509113919600033,0.9956116282895616,0.8574742166830794,-0.9533734888093655,0.9957211076222415,0.9944933505420599,0.9813916316730246,0.9860152049985439,0.9999840136922881,-0.0665322263060799,0.6375082833383597,-0.9483899928866782,-0.8658640065445606,-0.6058433172928703,0.6758422203202605,-0.9391997227303653,0.8926058582594153,-0.8211153019589182,0.9496634881147556,0.9432422201255735,0.1298498927914625,0.5112205575891754,1.0,0.9578794039142335,0.8451281929726223,0.9625469893856697,0.9883761960242574
ADANIPORTS,-0.9690410979000336,-0.9659239540509245,0.9805497261773601,0.9691139846923117,-0.9998829440499059,0.9803179858013263,0.9827001057966225,0.8849132097239192,0.9923422094256711,0.9594878723858931,0.2228046235344939,0.8319049031308456,-0.8173795755050809,-0.9730589285086526,-0.35185637544298476,0.43571718550011085,-0.8010338590622872,0.9844762218712974,-0.6226231758329278,0.8197005761224325,0.9988833077116827,-0.16035894145879145,0.7364964287453682,0.9578794039142335,1.0,0.6560198269102026,0.999860211567472,0.9030872212893933
JSWSTEEL,-0.8220559855424822,-0.43831795919343075,0.791394217394822,0.4496282184180366,-0.6443952557421919,0.7921133324586322,0.784452257595292,0.9320469644135975,0.7442213340182037,0.8420920398749197,-0.5896075038361439,0.12692510340021515,-0.9710246478045809,-0.46433485812418274,-0.9373055770125815,0.9651715196576539,-0.977298017541332,0.5133648230766442,-0.999056518975697,0.9700511496549412,0.6196290107816257,0.6397776978996017,-0.027383619675762663,0.8451281929726223,0.6560198269102026,1.0,0.6685474125801767,0.9165732059793992
SUNPHARMA,-0.9730337884373412,-0.961461366121892,0.9836942984522228,0.9648551485135047,-0.9994873519932074,0.983481889016943,0.9856593397288397,0.8925769337072423,0.9942687249015137,0.9640645968367914,0.20647379804570468,0.8225103976425409,-0.8268976803393965,-0.9690680080670093,-0.367457982760617,0.45070564655347234,-0.8109307749083474,0.9814039481580019,-0.6356198797813208,0.8291630595133832,0.9979537320857675,-0.1438329342995005,0.7250833960877662,0.9625469893856697,0.999860211567472,0.6685474125801767,1.0000000000000002,0.9101414904015559
ADANIENT,-0.9811613849138034,-0.7611588813143517,0.9698118404006731,0.7692846333393039,-0.8964106996241861,0.9700982473350135,0.9670010730825134,0.9991760521092515,0.9492176831808722,0.9875007671233611,-0.21744995884564916,0.5129690721329128,-0.9855751154938768,-0.7797429187807553,-0.7197521089986725,0.7800379995708622,-0.9804846882198679,0.8136904297513534,-0.8983426441535006,0.9862508622922421,0.8817888301001111,0.2790813652851594,0.37461788263984686,0.9883761960242574,0.9030872212893933,0.9165732059793992,0.9101414904015559,0.9999999999999999
